ZEIT;RAUM;Reason;WERT
2004;11 Aegidii;Birth surplus or deficit;-4
2004;12 ueberwasser;Birth surplus or deficit;1
2004;13 Dom;Birth surplus or deficit;-8
2004;14 Buddenturm;Birth surplus or deficit;-26
2004;15 Martini;Birth surplus or deficit;0
2004;21 Pluggendorf;Birth surplus or deficit;-61
2004;22 Josef;Birth surplus or deficit;26
2004;23 Bahnhof;Birth surplus or deficit;3
2004;24 Hansaplatz;Birth surplus or deficit;7
2004;25 Mauritz-West;Birth surplus or deficit;31
2004;26 Schlachthof;Birth surplus or deficit;12
2004;27 Kreuz;Birth surplus or deficit;34
2004;28 Neutor;Birth surplus or deficit;11
2004;29 Schloss;Birth surplus or deficit;3
2004;31 Aaseestadt;Birth surplus or deficit;-4
2004;32 Geist;Birth surplus or deficit;10
2004;33 Schuetzenhof;Birth surplus or deficit;7
2004;34 Dueesberg;Birth surplus or deficit;-23
2004;43 Hafen;Birth surplus or deficit;4
2004;44 Herz-Jesu;Birth surplus or deficit;-75
2004;45 Mauritz-Mitte;Birth surplus or deficit;-3
2004;46 Rumphorst;Birth surplus or deficit;6
2004;47 Uppenberg;Birth surplus or deficit;0
2004;51 Gievenbeck;Birth surplus or deficit;99
2004;52 Sentrup;Birth surplus or deficit;-19
2004;54 Mecklenbeck;Birth surplus or deficit;-19
2004;56 Albachten;Birth surplus or deficit;6
2004;57 Roxel;Birth surplus or deficit;20
2004;58 Nienberge;Birth surplus or deficit;17
2004;61 Coerde;Birth surplus or deficit;49
2004;62 Kinderhaus-Ost;Birth surplus or deficit;3
2004;63 Kinderhaus-West;Birth surplus or deficit;18
2004;68 Sprakel;Birth surplus or deficit;5
2004;71 Mauritz-Ost;Birth surplus or deficit;-13
2004;76 Gelmer-Dyckburg;Birth surplus or deficit;17
2004;77 Handorf;Birth surplus or deficit;-12
2004;81 Gremmendorf-West;Birth surplus or deficit;13
2004;82 Gremmendorf-Ost;Birth surplus or deficit;10
2004;86 Angelmodde;Birth surplus or deficit;2
2004;87 Wolbeck;Birth surplus or deficit;14
2004;91 Berg Fidel;Birth surplus or deficit;-25
2004;95 Hiltrup-Ost;Birth surplus or deficit;10
2004;96 Hiltrup-Mitte;Birth surplus or deficit;14
2004;97 Hiltrup-West;Birth surplus or deficit;26
2004;98 Amelsbueren;Birth surplus or deficit;-21
2005;11 Aegidii;Birth surplus or deficit;-18
2005;12 ueberwasser;Birth surplus or deficit;-5
2005;13 Dom;Birth surplus or deficit;-2
2005;14 Buddenturm;Birth surplus or deficit;-39
2005;15 Martini;Birth surplus or deficit;5
2005;21 Pluggendorf;Birth surplus or deficit;-62
2005;22 Josef;Birth surplus or deficit;8
2005;23 Bahnhof;Birth surplus or deficit;3
2005;24 Hansaplatz;Birth surplus or deficit;14
2005;25 Mauritz-West;Birth surplus or deficit;28
2005;26 Schlachthof;Birth surplus or deficit;13
2005;27 Kreuz;Birth surplus or deficit;49
2005;28 Neutor;Birth surplus or deficit;4
2005;29 Schloss;Birth surplus or deficit;6
